tempo,stateEstimate.x,stateEstimate.y,stateEstimate.z,pm.batteryLevel,stabilizer.roll,stabilizer.pitch,stabilizer.yaw,
26426,5.858206,2.286654,0.054621,10.000000,0.374949,0.601271,15.223912,
26436,5.857562,2.286226,0.054725,10.000000,0.439075,0.789327,15.189519,
26446,5.858436,2.286719,0.054363,10.000000,0.361488,0.494203,15.196851,
26456,5.857546,2.286220,0.055354,10.000000,0.427609,0.773965,15.166134,
26466,5.857546,2.286218,0.055600,10.000000,0.415545,0.731406,15.153298,
26476,5.857950,2.286573,0.056068,10.000000,0.343887,0.572224,15.154949,
26486,5.858193,2.286650,0.055253,10.000000,0.349323,0.516176,15.145025,
26496,5.858185,2.286647,0.055369,10.000000,0.354385,0.541863,15.127350,
26506,5.858186,2.286646,0.055453,10.000000,0.358752,0.557237,15.110553,
26516,5.858420,2.286708,0.055463,10.000000,0.362191,0.506813,15.111179,
26526,5.857534,2.286215,0.056185,10.000000,0.427058,0.783373,15.061579,
26536,5.858401,2.286698,0.056665,10.000000,0.350923,0.490690,15.076693,
26546,5.857924,2.286569,0.057226,10.000000,0.355652,0.644985,15.029358,
26556,5.858394,2.286691,0.057538,10.000000,0.361309,0.511761,15.053262,
26566,5.858388,2.286691,0.057754,10.000000,0.363645,0.537439,15.033994,
26576,5.858407,2.286708,0.056025,10.000000,0.365715,0.552033,15.015796,
26586,5.857513,2.286218,0.056202,10.000000,0.429589,0.822683,14.970722,
26596,5.858377,2.286694,0.058140,10.000000,0.350295,0.519659,14.988623,
26606,5.858380,2.286695,0.058367,10.000000,0.356103,0.539147,14.971649,
26616,5.858132,2.286630,0.058688,10.000000,0.358806,0.622929,14.938938,
26626,5.858389,2.286706,0.056529,10.000000,0.365368,0.558391,14.944801,
26636,5.858146,2.286638,0.056653,10.000000,0.367953,0.636348,14.908564,
26646,5.858133,2.286635,0.056709,10.000000,0.367168,0.637175,14.893380,
26656,5.858131,2.286630,0.056765,10.000000,0.367753,0.638331,14.877505,
26666,5.858383,2.286711,0.055336,10.000000,0.366836,0.572072,14.881335,
26676,5.858137,2.286650,0.055394,10.000000,0.367217,0.648134,14.845733,
