'tempo': 26176,{'stateEstimate.x': 5.858255863189697, 'stateEstimate.y': 2.2864022254943848, 'stateEstimate.z': 0.05513352155685425, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.4323018193244934, 'stabilizer.pitch': 0.5774970054626465, 'stabilizer.yaw': 15.633977890014648}#
'tempo': 26186,{'stateEstimate.x': 5.858188629150391, 'stateEstimate.y': 2.2866411209106445, 'stateEstimate.z': 0.055219125002622604, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3570989668369293, 'stabilizer.pitch': 0.5838509798049927, 'stabilizer.yaw': 15.582575798034668}#
'tempo': 26196,{'stateEstimate.x': 5.858190059661865, 'stateEstimate.y': 2.2866384983062744, 'stateEstimate.z': 0.055230263620615005, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3654654026031494, 'stabilizer.pitch': 0.591322124004364, 'stabilizer.yaw': 15.56967830657959}#
'tempo': 26206,{'stateEstimate.x': 5.858193874359131, 'stateEstimate.y': 2.286644458770752, 'stateEstimate.z': 0.05523858591914177, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3650590479373932, 'stabilizer.pitch': 0.5912722945213318, 'stabilizer.yaw': 15.553650856018066}#
'tempo': 26216,{'stateEstimate.x': 5.85843563079834, 'stateEstimate.y': 2.286717414855957, 'stateEstimate.z': 0.05435098335146904, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.36939647793769836, 'stabilizer.pitch': 0.5328154563903809, 'stabilizer.yaw': 15.555188179016113}#
'tempo': 26226,{'stateEstimate.x': 5.858186721801758, 'stateEstimate.y': 2.2866437435150146, 'stateEstimate.z': 0.05441755801439285, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37499433755874634, 'stabilizer.pitch': 0.6200442910194397, 'stabilizer.yaw': 15.521578788757324}#
'tempo': 26236,{'stateEstimate.x': 5.8581862449646, 'stateEstimate.y': 2.286646842956543, 'stateEstimate.z': 0.054386720061302185, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37425893545150757, 'stabilizer.pitch': 0.619641125202179, 'stabilizer.yaw': 15.506123542785645}#
'tempo': 26246,{'stateEstimate.x': 5.858186721801758, 'stateEstimate.y': 2.2866499423980713, 'stateEstimate.z': 0.05435679107904434, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37357059121131897, 'stabilizer.pitch': 0.6185935735702515, 'stabilizer.yaw': 15.490873336791992}#
'tempo': 26256,{'stateEstimate.x': 5.85818338394165, 'stateEstimate.y': 2.286653995513916, 'stateEstimate.z': 0.054326992481946945, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37156936526298523, 'stabilizer.pitch': 0.6182231307029724, 'stabilizer.yaw': 15.47611141204834}#
'tempo': 26266,{'stateEstimate.x': 5.858428955078125, 'stateEstimate.y': 2.286728858947754, 'stateEstimate.z': 0.05334348604083061, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3741082549095154, 'stabilizer.pitch': 0.5552492141723633, 'stabilizer.yaw': 15.477225303649902}#
'tempo': 26276,{'stateEstimate.x': 5.8582000732421875, 'stateEstimate.y': 2.2866663932800293, 'stateEstimate.z': 0.0533551350235939, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37604665756225586, 'stabilizer.pitch': 0.6288315653800964, 'stabilizer.yaw': 15.445365905761719}#
'tempo': 26286,{'stateEstimate.x': 5.858201503753662, 'stateEstimate.y': 2.286668300628662, 'stateEstimate.z': 0.053280360996723175, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3758314251899719, 'stabilizer.pitch': 0.6272225975990295, 'stabilizer.yaw': 15.431148529052734}#
'tempo': 26296,{'stateEstimate.x': 5.8582024574279785, 'stateEstimate.y': 2.2866649627685547, 'stateEstimate.z': 0.05320516973733902, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3761122226715088, 'stabilizer.pitch': 0.6270919442176819, 'stabilizer.yaw': 15.415122985839844}#
'tempo': 26306,{'stateEstimate.x': 5.858449459075928, 'stateEstimate.y': 2.2867321968078613, 'stateEstimate.z': 0.05346139147877693, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3767082989215851, 'stabilizer.pitch': 0.5585574507713318, 'stabilizer.yaw': 15.415081977844238}#
'tempo': 26316,{'stateEstimate.x': 5.858211517333984, 'stateEstimate.y': 2.2866694927215576, 'stateEstimate.z': 0.05350267514586449, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37706640362739563, 'stabilizer.pitch': 0.6346651315689087, 'stabilizer.yaw': 15.382427215576172}#
'tempo': 26326,{'stateEstimate.x': 5.858211040496826, 'stateEstimate.y': 2.286670684814453, 'stateEstimate.z': 0.05345620959997177, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.37723323702812195, 'stabilizer.pitch': 0.6331756711006165, 'stabilizer.yaw': 15.367334365844727}#
'tempo': 26336,{'stateEstimate.x': 5.858449459075928, 'stateEstimate.y': 2.286741256713867, 'stateEstimate.z': 0.05344328284263611, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3772726356983185, 'stabilizer.pitch': 0.56782466173172, 'stabilizer.yaw': 15.367399215698242}#
'tempo': 26346,{'stateEstimate.x': 5.858448505401611, 'stateEstimate.y': 2.286747455596924, 'stateEstimate.z': 0.05341847985982895, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3769475817680359, 'stabilizer.pitch': 0.5781792998313904, 'stabilizer.yaw': 15.350885391235352}#
'tempo': 26356,{'stateEstimate.x': 5.858454704284668, 'stateEstimate.y': 2.286747932434082, 'stateEstimate.z': 0.052787523716688156, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3805977404117584, 'stabilizer.pitch': 0.5899173021316528, 'stabilizer.yaw': 15.334620475769043}#
'tempo': 26366,{'stateEstimate.x': 5.858214378356934, 'stateEstimate.y': 2.286684036254883, 'stateEstimate.z': 0.052736587822437286, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.38001173734664917, 'stabilizer.pitch': 0.6618626117706299, 'stabilizer.yaw': 15.305119514465332}#
'tempo': 26376,{'stateEstimate.x': 5.858216285705566, 'stateEstimate.y': 2.2866787910461426, 'stateEstimate.z': 0.052681565284729004, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.38219425082206726, 'stabilizer.pitch': 0.6508165001869202, 'stabilizer.yaw': 15.292930603027344}#
'tempo': 26386,{'stateEstimate.x': 5.857578277587891, 'stateEstimate.y': 2.28625226020813, 'stateEstimate.z': 0.052413322031497955, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.4469488561153412, 'stabilizer.pitch': 0.8300493359565735, 'stabilizer.yaw': 15.256279945373535}#
'tempo': 26396,{'stateEstimate.x': 5.858438491821289, 'stateEstimate.y': 2.28672456741333, 'stateEstimate.z': 0.0542854480445385, 'pm.batteryLevel': 10, 'stabilizer.roll': 0.3698238134384155, 'stabilizer.pitch': 0.5238757133483887, 'stabilizer.yaw': 15.273642539978027}#
